tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,puuid,profileIconId,revisionDate,summonerLevel
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,8nwTzknKo9nswcc3ZPPC11me2T958Rg15hWPvJQBwujDxso,버기해적단 버기,857,I,181,148,True,False,False,False,mZqBfQOYCR6PVE96NdBzkaBBm2SeaUZ36r7SilsPTzwjNnQ,PlQ-wwLy8pI4GcXUag9rhy_ad57Zx4aPN0y6GJ62TL13Da1QFYqfvnkkFTFaAICwqIAwkVeu0X8kAQ,4568,1643108536000,206
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,6TS9ovCEIMxuJezWNwM-9sZylyqrPmBDxVF2ny-lxGstA2Q,병장 이승빈,506,I,98,75,False,False,True,False,bv79yiOyivuHI0E9LiZxV6QoWdguLkQ2_dxbqdoTouwKNN0,S-1oDKxHrwKgFtRLpqlsmrNrM5JnCxMkCP9j2XBniAoxstjmwOyeCOM6kvrOiZCJGriwYQY9VbgtNA,3369,1643501856000,704
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,A3EqIICJvKeOA_-x86paYadoWed-HbWS5wvRYU8mN3vPtVZW8Hxgxrbj8A,일산전영찬,781,I,105,79,False,False,False,False,qsb347xq-b04WxRFptbzlSW0n7BDJEYGDwgvFLlUvLzXserhsXIXmCpF,7oQ--x091nXFInn_1l_Y24e9Sc5HcFKXrCaelq77AxmFBKCVJWy9sPZjxGxH5qmPDylWHhbRfRjU4Q,23,1643666359261,67
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,KPTybARio9S0wtm9xSRSwm-CXmqki6sgh8I0qapX1-yMIk8,해강고 원딜,512,I,199,186,False,False,True,True,sbZJawQjIzuKQv9n-pZiJht_uVQpZwk3q1Fmfm7FO4cko1w,3d7bL-8N2bY1Uyt2rNxCARE3hpAgtQWxsivHIMdR2libG7B0VBxsE0HIVn8VghpBzJaY0-5_gdFjyA,5208,1643123080000,443
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,sEra7DNfYv7h5-npJK6iMxYrZKZKZiOC9hKBgAk5jPwPvvs,룡식2,612,I,85,64,False,False,True,True,gnWOnVkHOIKQiW7do8jb3OIYXeerSspPbpkUg7Z8Yi9MZXWsRwlrcqdF,p0laL9pKYjoZpSxGc8Q3NIjIEINSzxj1rqJ1PCtQ-C_67J4meDXbMZZfJ0U5O2D1uqfCSCltq-RaZQ,29,1643496995000,417
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,ZElWL4BHvVe_KhGBEBvFG9W-rgad_piOWu0C707seZ55Ceo,C9 Berserker,515,I,59,41,False,False,True,False,_mjkViUXQGWrZ6xUfE_WaVlkIZxEt9vIUQ0Xa_uafF-OR7nnjKtJu9V8,WvExHRRlY4E8W_5nGgt_EVW4KLVbrZeO5gPUSorNej65QSaKUAN7liY64BMwZ2ypebWfJ8Gbwd4RuQ,552,1643409795000,365
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,T1jrmDbQeDgF_iMuDyD_gHz1ynpJcCgeCkRNeFbLXIJKlTk,BRO Delight,512,I,67,47,False,False,True,True,HfGtZZgvvA4cVWqNbJNGi28BV221dNPGqJD0aDPhYBpINo53c__hZHXx,EFo3dgYqXsdPs72FNiEQsIk-ttmE--PjaZGNTvaEVV7tuvjvlnOBJzD6n-kAFWabSdZKExKc14gFcA,1393,1643364407000,636
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,7ZyPhsJ2ov-_3kBDj7cPQxEYE4_4rT1QWNsY3PdQc96h9w,땀비몬,528,I,79,55,False,False,True,True,6CRB4ZLutwzgPOV3m0pi0uPD5JNZiVQ69HEoSxazyWBb,z0zuoOKcNOq1g0gi8H8F3X0rzV1k75IuarNSSrbZz8MBc5iEGpbU5fLCuEhEgOgVSSBF4WbW1dK9Yg,871,1643703300000,456
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,M43lbRfPeoL9rva-KzTdYIZGpmixWkCb4_myB20u6neqdYk,Marchen,571,I,73,42,False,False,False,True,DgrAKSHXL4M0_MHP0fZkEtBpta9ZodvszKsPcBlnmlgu,m6B8hPDdBds2t5okFGyLAUCDYZp4EqUWtvz66-OUAssamL6U0E-DRHEoAy-d0PUmqeoDUt6d0eZ3hQ,4918,1643729835021,576
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,Ej0KTXw7DoOlaGCOQIbulRsSN_OQgncbrlKCXq0gNO8HownzYtVuNYaE2A,IllIlIIIlllII,572,I,89,62,False,False,True,True,XOPLEjl17wMJz0KvutrP1vt07gFuVD8MBc3d5E7dqBcQ_BAF1SStaLE7,54vFL4RRT94A2-W-s6czZMhVkWOfWcBmoPtwmt1-DBHeBb476YalIPKRzvzfMjlhMv0rT0og5h0NHA,21,1643483296000,84
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,1e8v3sU4f9Ev7oIm_ePtyn4yAWF7qEoh-MN21QwD-bps2M0yM1i8bxivEA,IGqxz1378038730,513,I,124,101,False,False,False,True,PepCXikOMEExzXWp2v5y9TZjE_sK4tiE-d1RjuMiQl8iJCtoLx69yGrz,C1DhMXco7m34oz6yKb5fP9c_EXxMwyIWSmfktzUQrIAx3dmuC_537Bug5AO9eSDKofOcAwu2K1_WtQ,5091,1643052336000,126
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,9HV6BAjUE-wG-Lw5b7pvlkzspK_GYl71VyrptmVpjsV_Y1k,달리기 왕,637,I,62,39,False,False,False,False,QhfspCv-q50L299pdYMu3rpta5yu-RuIyv33O5jOiFUCvUt_TurcUomJ,f7J_Hfool8wWxVQ8qd8Kh_MGwYcGNAe5k5x3ZPPTPkqIUcJp6vRNVnFj_ltnuENIJ8Xdc0txEN3-2Q,1630,1643257593000,194
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,ixC9Qj8KmQmVNIce4OAcKYNhvQnU6NH0sbIaiPy85qextCU,Uneasy12,563,I,93,73,False,False,False,False,JISZm6vSI-fQNhfmIY-xSELj0CCj2f3Mjy960a8I-4rL0_UwevJhr2uw,g_3M68BJjIVQ7CsZNDu1QEFrJbIhlDT6tyqxr13Pn4BhoXT0rVUR1yzpTlEOLSqtfAYa-i1KXJCJgA,4817,1642900476000,468
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,hF982Y9Lzx-QVSBc8MF335z4sZKgQq8FdN6f8LoJBy8n7gc,sksqnf,610,I,98,78,False,False,False,False,cJh6KKQq2dUmG6Be97USVxWklXU9ap-SlKE2RQDJ73nSu-I,qkXLuQYrCdIQI9emaytgNPaBv3Ej2yST1cv_cTx56OR5nGtPCDLrYOdDSRyE-nI-CVO5442U2pYUKw,3465,1643361360000,409
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,fgIgucnL3e4gmVoThWKOp2SOH5zChMccJukYeq2wzxkBiQ8,ziyou,590,I,63,44,False,False,False,False,NvyDu2cvL_lJW2eKNuZS21VyB6xNR0yZvUmQe3cG0x8yzBkt0T-QxD4T,Q8OWfMfVRYqcZ1umPg0exiYlo4-37HntJxq_Lg55bU0Dkmkg-l9VvK6C-oHaTn-A25K8DoGMladuNA,5207,1643183596000,307
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,y1c6fxo_VOH17erfhd_T7PigvtjPD5SY2ZG3eY2Qep7NbpwieEt9_zqT2A,notanysmite,515,I,104,90,False,False,True,True,7CvQ6m_UGoZYLm2pyEoxw3FrFXjTN9mMChvxDs02dT1ZPxX07aqFx3Xl,fR5_BOR_bGnWwph0lz9EazMTw11LHGpIFsg4gsvtFR5eUhhjke_lm_iYelBSP2n-vqDnU6qfw29c7w,4631,1643584917000,241
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,xBXGOvm5I20fCcpi--Ri8drQUaGClnIjtPGUY4tzTU5GSfOROg3MM5Iegg,NeedAspirin,649,I,108,86,False,False,False,False,ufk_m81_RxeYjnm47xCgtcTqWv2eRDEA6rWDbASPU08_W8vxBiOEAKIF,uONYzE35jX3YiT5HQv_8B5jNDR7CUCWRIl5EUnRhMYrIavuoHu6iABiZBOfv--aArK7lXNaB7CuzmA,26,1643515994000,45
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,VyNGWX6O8NypxBKwiRo_k3lZ5dCnvp13QgM1uJEC8Wbox1Y,이렐아칼리,578,I,118,94,False,False,True,False,7FeQuWTI87si_4VU8UyM6z6GP0DiMuqkjQMQe5HxZD3zHlxazXRNnSjW,8nQR47ew-o4VqjbCH1XQP0zZsnSQVPcK6zAq44mA-RKDA-B-pOkJc9w9xU8l0jXNFCnzGnSr4MaRqw,3,1643373782000,170
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,9qcmerMkQ9xf-6Y1hS3HJ0WErcihQb5YtaTpNaypb-U4rto,Chasy,551,I,91,75,False,False,True,False,xPJWb7u1AnlO0YDFFYW4Qd2626BLzro1iZfiBa3A12owkc1swsWbUn7v,mdR32ri0Ayn4wFJ3aCLdQQRJhgymE9hae-VYQVYgWI7HC9Du9p6-6sb1JEqUsXU39Uc7-rpEVaEt4A,4025,1643203289000,308
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,AwxP69XtmOXZIEKCIQw-vYI8KZx8sm89SzDojmo943R36jk,JG24number,463,I,145,123,False,False,True,False,jrIHx47IBfQRXjfxQrA9653QvihsgKiCM_pF-pl4GlwQdJG3jbI60I6H,GFTypOJRG1njxi2OGCX2bIxqseQEuEsnGoNTWU9wcNwIvlQa2YNvzvrVdPcxw2mp6C85Z67R0g_aOQ,5227,1643239148000,273
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,MBcLwY4mkUIM150K4C8qLbKEJ7UV0EaL5diAzQo76qhl7Fc,워웍뿌삐,554,I,69,47,False,False,True,False,7iCQxAqTiZlecIaZidaZawwymkR1mvdAG58Y0UlBJg_gKtbA6_KAQCJY,KVxp2SCRX_Gsq-1EEKxVt4tWiGGE55CjHnfCmrj949idVJr9yOHZtNfDbm8V8eJYFN9QbZV4qs9fBw,5028,1642829940000,314
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,2fWBGV69Aj5NWuYYpqSZmgE-GDm5SxiLIg9OA_cPoLnOxZus,채은누나 예쁘다 ,663,I,82,54,False,False,True,True,QdSHvLaGU63z9vgqMYLB_oVynRxYoHLz31DmTGKVHXKXe-to8Nfmfr49,OAHCyGjR8M_uYs8fVeQolZJhAJKZrdkOT0jH-joRDdNmG8Nsz5PoGScUwVKX_Dr4nixsLUqFy-bbBA,4895,1643699576000,316
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,XOX_5DaxRCoZHKmIzsinoXG4yt8ZHo13IlyBh6duaxLSSIc,ren jian,577,I,104,84,False,False,False,False,wyCb13iaYBa1iHK2EfR4wwAxrP4p9EVGqTQ5fdYpNBOqU5Dwok42Iyo7,npUB5mD8vdi7aVdhubbLrod-FL6CTc3C6YIxQrPxYzAQ5Or-gbDXtE2vf5YLNo6rGTMMIDHw6-t03w,5182,1642920402000,315
